"Employer Name","CBA File","Location","Union","Expiration Date","NAICS*","#Wrkrs","Type"
"BOEING - CORINTH, CO (NOW LABINAL, INC.)",372,"TX CORINTH","MACHINISTS AFL-CIO (IAM) LODGE 2317","Jan 13, 2005","336414","1139","PRIVATE"
"BOEING CO.",314,"WA KS OR","MACHINISTS AFL-CIO (IAM) DISTRICT LODGE 24/MACHINISTS AFL-CIO (IAM) DISTRICT LODGE 70/MACHINISTS AFL-CIO (IAM) DISTRICT LODGE 751","Sep 1, 2005","336411","25000","PRIVATE"
"BOEING CO.",315,"NATIONAL","IAM, AFL-CIO  ","Jan 3, 2014","336411","25000","PRIVATE"
"BOEING CO. (COMMERCIAL AIRPLANE & AIRCRAFT MISSILES)",320,"CA","UWA -","Apr 25, 2004","541710","1000","PRIVATE"
"BOEING CO. (ENGINEERING UNIT)",312,"FL OR UT WA","SPEEA ","Nov 1, 2005","541710","11274","PRIVATE"
"BOEING CO. (ENGINEERING UNIT)",373,"KS WICHITA","SPEEA -","Feb 19, 2008","541710","1280","PRIVATE"
"BOEING CO. (PROFESSIONAL UNIT)",311,"DE","SPEEA LOCAL 2001","Dec 1, 2008","541710","11274","PRIVATE"
"BOEING CO. (PROFESSIONAL UNIT)",313,"DE","SPEEA -","Oct 6, 2012","541710","11274","PRIVATE"
"BOEING CO. (ROTORCRAFT DIV.)",316,"DE PA","AUTO WORKERS AFL-CIO (UAW) LOCAL UNION 1069","Sep 1, 2005","336411","1400","PRIVATE"
"BOEING CO. (TECHNICAL BARGAINING UNITS)",356,"DE","SPEEA LOCAL 2001","Dec 1, 2005","541710","8427","PRIVATE"
"BOEING CO. (TECHNICAL UNIT)",355,"DE","SPEEA LOCAL 2001","Dec 1, 2008","541710","8427","PRIVATE"
"BOEING CO. (TECHNICAL UNIT)",357,"DE","SPEEA -","Oct 6, 2012","541710","8427","PRIVATE"
"BOEING CO. (WAS ROCKWELL INTERNATIONAL)",325,"NATIONAL","- -","May 14, 2003",,,"PRIVATE"
"BOEING COMMERCIAL AIRPLANE-LONG BEACH",319,"CA","UAW, AID 725","Oct 23, 2005",,,"PRIVATE"
"BOILERMAKERS EMPLOYERS OF W. PA",1722,"PA","BOILERMAKERS AFL-CIO (BBF) LODGE 154","May 31, 2012","23892","1200","PRIVATE"
"BOILERMAKERS EMPLOYERS OF W. PA",1723,"PA PITTSBURGH","BOILERMAKERS AFL-CIO (BBF) LODGE 154","May 31, 2006","23892","1200","PRIVATE"
"BON-MACY'S",535,"WA SEATTLE","FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 1101","Apr 30, 2006","45211","1200","PRIVATE"
"BORG-WARNER AUTOMOTIVE DIVERSIFIED TRANSMISSION PRODS CORP",289,"IN MUNCIE","AUTO WORKERS AFL-CIO (UAW) LOCAL UNION 287","Mar 12, 2006","336312","1200","PRIVATE"
"BOSTON GLOBE",149,"MA","CWA -","Dec 31, 2000","23816","1200","PRIVATE"
"BOSTON ROOFING CONTRACTORS ASSOCIATION OF BTEA & SMACNA",1684,"MA EASTERN","SMW 17","Jul 31, 2005","23816","1200","PRIVATE"
"BOSTON SHIP REPAIR",2597,"MA","IAM LOCAL LODGE S-25 / DISTRICT LODGE 4","May 31, 2022",,"60","PRIVATE"
"BOSTON SHIPPING ASSOCIATION, INC.",2287,"MA","LONGSHOREMENS ASN AFL-CIO (ILA) LOCAL UNION 1604","Sep 30, 2018",,,"PRIVATE"
"BOULDER PHILHARMONIC ORCHESTRA",1382,"CO","DENVER MUSICIANS ASSOCIATION  20-623","Jun 30, 2022",,,"PRIVATE"
"BOWATER NEWSPRINT",126,"TN CALHOUN","UPIU/PACE  175,788,790,653","Jul 3, 2008","322121","1000","PRIVATE"
"BRACH'S INCORPORATED",73,"IL CHICAGO","TEAMSTERS (IBT) LOCAL UNION 738","Dec 31, 2003","311340","2000","PRIVATE"
"BRAND ENERGY SERVICES, LLC/SAFWAY SERVICES, LLC/PERFORMANCE CONTRACTING, INC.",2389,"WA","CJA PACIFIC NORTHWEST REGIONAL COUNCIL","May 31, 2019",,,"PRIVATE"
"BRICKLAYERS TRADE AGREEMENT",1337,"NY NEW YORK","BAC 1","Jun 30, 2005","23814","1700","PRIVATE"
"BRIDGESTONE-FIRESTONE TIRE CO.",163,"OH IA TN OK AK","STEELWORKERS, AFL-CIO (USW) LOCAL UNION 12 998 L","Jul 23, 2006","326211","6000","PRIVATE"
"BRIGGS AND STRATTON CORP.",215,"WI MILWAUKEE","UPIU/PACE  7232","Jul 31, 2006","3363","2500","PRIVATE"
"BRIGHAM & WOMEN'S HOSPITAL/PARTNERS HC SYSTEM",854,"MA BOSTON","MNA/ANA ","Sep 30, 2006","62211","2000","PRIVATE"
"BRIGHT AUTO REPAIR",1389,"IL","AMU 701","Jun 30, 2022",,"2","PRIVATE"
"BROWN & WILLIAMSON TOBACCO CORP.",89,"GA MACON","BCTW 362-T","Sep 1, 2005","312221","1500","PRIVATE"
"BROWN COUNTY CONSTRUCTION CO. INC.",2291,"OH","BCCEA ","Dec 31, 2020",,,"PRIVATE"
"BRUNO'S INC., BRUNO'S FOOD & PHARMACY DIV. MOA",668,"AL","FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 1657","Jul 25, 2009","445110","1419","PRIVATE"
"BRUNO'S INC., BRUNO'S FOOD & PHARMACY DIV. MOA",669,"AL","FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 1657","Oct 29, 2005","445110","1419","PRIVATE"
"BRUNO'S INC., FOOD WORLD DIV. MOA",667,"AL","FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 1657","Oct 29, 2005","445110","4302","PRIVATE"
"BRYAN FOODS, INC.",74,"MS WEST POINT","FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 1991","Jan 30, 2007","311611","1800","PRIVATE"
"BRYANT PRINTING, LLC.",2593,"IN","STEELWORKERS, AFL-CIO (USW) LOCAL UNION 7 706","Mar 29, 2022","323100","1","PRIVATE"
"BUCK KREIHS MARINE REPAIR, L.L.C",2501,"LA","BOILERMAKERS AFL-CIO (BBF) LODGE 37","Jan 31, 2024","336611","2","PRIVATE"
"BUDD CO.",288,"KY SHELBYVILLE","AUTO WORKERS AFL-CIO (UAW) LOCAL UNION 2383","Feb 6, 2005","336211","1000","PRIVATE"
"BUDD CO.",290,"MI PA","AUTO WORKERS AFL-CIO (UAW) LOCAL UNION 306/AUTO WORKERS AFL-CIO (UAW) LOCAL UNION 757/AUTO WORKERS AFL-CIO (UAW) LOCAL UNION 813","Oct 28, 2005","336211","2000","PRIVATE"
"BUDGET RENT A CAR SYSTEM, INC. (SERVICE AGENTS, RENTAL SALES ASSOCIATES)",833,"PA","OFFICE AND PROFESSIONAL EMPLS AFL-CIO (OPEIU) LOCAL UNION 32","Oct 31, 2024",,,"PRIVATE"
"BUFFALO NEWS INC.",2270,"NY","COMMUNICATIONS WORKERS AFL-CIO (CWA) LOCAL UNION 31026","Jul 31, 2016",,,"PRIVATE"
"BUILDERS ASSOCIATION OF E. OH & W. PA (HVY-HWY-RESID)",1309,"OH YOUNGSTOWN","ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 66","May 31, 2006","23731","1300","PRIVATE"
"BUILDERS' ASSOCIATION OF MISSOURI",2241,"MO","LABORERS  (LIUNA) LOCAL UNION 840","Feb 28, 2005",,,"PRIVATE"
"BUILDERS' ASSOCIATION OF MO",1066,"MO KANSAS CITY","BRICKLAYERS AFL-CIO (BAC) LOCAL UNION 15","Mar 31, 2007","23621","1000","PRIVATE"
"BUILDERS' ASSOCIATION OF MO",1067,"MO KANSAS CITY","ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 101","Mar 31, 2007","23621","3200","PRIVATE"
"BUILDERS' ASSOCIATION OF MO",1072,"MO KANSAS CITY","TEAMSTERS (IBT) LOCAL UNION 541","Mar 31, 2007","23621","2000","PRIVATE"
"BUILDERS' ASSOCIATION OF MO",1073,"MO","TEAMSTERS (IBT) LOCAL UNION 541","Mar 31, 2014","23621","2000","PRIVATE"
"BUILDERS' ASSOCIATION OF MO",1100,"MO SPRINGFIELD","ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 101","Mar 31, 2007","23621","3200","PRIVATE"
"BUILDERS' ASSOCIATION OF MO",1301,"MO KANSAS CITY","PAINTERS AFL-CIO (PAT) DISTRICT COUNCIL 3","Mar 31, 2009","23622","1200","PRIVATE"
"BUILDERS' ASSOCIATION OF MO",1302,"MO KANSAS CITY KS","PAINTERS AFL-CIO (PAT) DISTRICT COUNCIL 3","Mar 31, 2019",,,"PRIVATE"
"BUILDERS' ASSOCIATION OF MO",1303,"MO KANSAS CITY","PAINTERS AFL-CIO (PAT) DISTRICT COUNCIL 3","Mar 31, 2005","23622","1200","PRIVATE"
"BUILDERS' ASSOCIATION OF MO",1304,"MO","PAINTERS AFL-CIO (PAT) DISTRICT COUNCIL 3","Mar 31, 2011","23622","1200","PRIVATE"
"BUILDERS' ASSOCIATION OF MO",1305,"MO","PAINTERS AFL-CIO (PAT) DISTRICT COUNCIL 3","Mar 31, 2014","23622","1200","PRIVATE"
"BUILDERS' ASSOCIATION OF MO",1425,"MO","LABORERS  (LIUNA) LOCAL UNION 2/LABORERS  (LIUNA) LOCAL UNION 290/LABORERS  (LIUNA) LOCAL UNION 641","Mar 31, 2011","23621","1500","PRIVATE"
"BUILDERS' ASSOCIATION OF MO",1426,"MO KANSAS CITY","LABORERS  (LIUNA) LOCAL UNION 264/LABORERS  (LIUNA) LOCAL UNION 290","Mar 31, 2007","23621","1500","PRIVATE"
"BUILDERS' ASSOCIATION OF MO",1427,"MO","LABORERS  (LIUNA) LOCAL UNION 2/LABORERS  (LIUNA) LOCAL UNION 290/LABORERS  (LIUNA) LOCAL UNION 641","Mar 31, 2014","23621","1500","PRIVATE"
"BUILDERS' ASSOCIATION OF MO",1726,"KANSAS CITY","IRON WORKERS AFL-CIO (BSOIW) LOCAL UNION 10","Mar 31, 2009",,,"PRIVATE"
"BUILDERS' ASSOCIATION OF MO",1727,"MO","IRON WORKERS AFL-CIO (BSOIW) LOCAL UNION 10","Mar 31, 2017","23621","1000","PRIVATE"
"BUILDERS' ASSOCIATION OF MO",1728,"MO KANSAS CITY","IRON WORKERS AFL-CIO (BSOIW) LOCAL UNION 10","Mar 31, 2005","23621","1000","PRIVATE"
"BUILDERS' ASSOCIATION OF MO",1729,"MO","IRON WORKERS AFL-CIO (BSOIW) LOCAL UNION 10","Mar 31, 2013","23621","1000","PRIVATE"
"BUILDERS' ASSOCIATION OF MO",1730,"MO","IRON WORKERS AFL-CIO (BSOIW) LOCAL UNION 10","Mar 31, 2013","23621","1000","PRIVATE"
"BUILDERS' ASSOCIATION OF PA",1223,"PA","UBC 1073","Apr 30, 2015","23621","10000","PRIVATE"
"BUILDERS' ASSOCIATION OF PA",1224,"PA","CJA METRO RC","Apr 30, 2012","23621","10000","PRIVATE"
"BUILDING & REALTY INST OF WESTCHESTER & MID-HUDSON",718,"NY ARMONK","SERVICE EMPLOYEES (SEIU) LOCAL UNION 32 BJ","Sep 30, 2006","531110","3500","PRIVATE"
"BUILDING CONTRACTORS ASSOCIATION",1613,"NY NASSAU,SUFFOLK","LABORERS  (LIUNA) LOCAL UNION 66","Jun 30, 2005","23622","1000","PRIVATE"
"BUILDING CONTRACTORS ASSOCIATION",1632,"NY NEW YORK","UBC DC OF NYC","Jun 30, 2006","23622","15000","PRIVATE"
"BUILDING CONTRACTORS ASSOCIATION ET. AL. (BLDG CONSTR)",1191,"NY WESTCHESTER","ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 137","Mar 5, 2006","23621","1200","PRIVATE"
"BUILDING CONTRACTORS ASSOCIATION OF FORT WAYNE INC.",1853,"IN","  -","May 31, 2017",,,"PRIVATE"
"BUILDING CONTRACTORS ASSOCIATION OF FORT WAYNE INC.",1854,"IN","PLASTERERS AND CEMENT MASONS AFL-CIO (OPCM) LOCAL UNION 692","May 31, 2012","238140","1730","PRIVATE"
"BUILDING CONTRACTORS ASSOCIATION OF FORT WAYNE INC.",2130,"IN FORT WAYNE","LABORERS  (LIUNA) LOCAL UNION 213","May 31, 2017","813910",,"PRIVATE"
"BUILDING CONTRACTORS ASSOCIATION OF FORT WAYNE, INDIANA, INC.",1583,"IN","LABORERS  (LIUNA) LOCAL UNION 213","May 31, 2017","813910",,"PRIVATE"
"BUILDING CONTRACTORS ASSOCIATION OF NJ",1352,"NJ","UBC NJ REG COUNCIL","Apr 30, 2007","23622","15000","PRIVATE"
"BUILDING CONTRACTORS ASSOCIATION OF NJ & INDEPENDENTS",1042,"NJ NORTHERN","IRON WORKERS AFL-CIO (BSOIW) LOCAL UNION 11/IRON WORKERS AFL-CIO (BSOIW) LOCAL UNION 373/IRON WORKERS AFL-CIO (BSOIW) LOCAL UNION 45/IRON WORKERS AFL-CIO (BSOIW) LOCAL UNION 480/IRON WORKERS AFL-CIO (BSOIW) LOCAL UNION 483","Jun 30, 2005","23621","1000","PRIVATE"
"BUILDING CONTRACTORS ASSOCIATION OF WESTCHESTER & MID-HUDSON",1188,"WESTCHESTER & PUTNAM","LABORERS  (LIUNA) LOCAL UNION 235","Apr 30, 2005","23622","1100","PRIVATE"
"BUILDING CONTRACTORS' ASSOCIATION. (MASON TENDERS)",1043,"NY NEW YORK","LABORERS  (LIUNA) LOCAL UNION 78/LABORERS  (LIUNA) LOCAL UNION 79","Jun 30, 2006","23622","7200","PRIVATE"
"BUILDING DIVISION - ICA, INC",1880,"IN","PLASTERERS AND CEMENT MASONS AFL-CIO (OPCM) LOCAL UNION 692","Mar 31, 2018","238140","1000","PRIVATE"
"BUILDING DIVISION - ICA, INC",1881,"IN","PLASTERERS AND CEMENT MASONS AFL-CIO (OPCM) LOCAL UNION 692","Mar 31, 2015","238140","1730","PRIVATE"
"BUILDING DIVISION - ICA, INC",1882,"IN, KY","PLASTERERS AND CEMENT MASONS AFL-CIO (OPCM) LOCAL UNION 692","Mar 31, 2012","238140","1730","PRIVATE"
"BUILDING DIVISION - ICA, INC",1894,"IN","ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 181","Mar 31, 2012","23731","4490","PRIVATE"
"BUILDING DIVISION - ICA, INC",1896,"IN","ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 181","Mar 31, 2015","23731","4490","PRIVATE"
"BUILDING HEAVY CONSTRUCTION",1584,"IL SOUTHWEST","ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 520","Jul 31, 2004","23731","1500","PRIVATE"
"BUILDING INDUSTRY ASSOCIATION OF PHILADELPHIA (RESID)",1222,"PA PHILADELPHIA","UBC 1073","Apr 30, 2009","2361","10000","PRIVATE"
"BUILDING LABORERS' AGMT/ALLIED CNSTR EMPLOYERS ASSOCIATION",881,"WI MILWAUKEE","LABORERS  (LIUNA) LOCAL UNION 113","May 31, 2012","23622","1650","PRIVATE"
"BUILDING LABORERS' AGMT/ALLIED CNSTR EMPLOYERS ASSOCIATION & AGC OF GREATER MILWAUKEE",882,"WI","LABORERS  (LIUNA) LOCAL UNION 113","May 31, 2008",,,"PRIVATE"
"BUILDING LABORERS', HEAVY & HIGHWAY CONSTRUCTION",1198,"DC WASHINGTON","LABORERS  (LIUNA) DISTRICT COUNCIL 0 WASHINGTON DC & VICINITY","May 31, 2005","23621","2500","PRIVATE"
"BUILDING MATERIAL CONTRACTORS INDUSTRY",539,"NY","TEAMSTERS (IBT) LOCAL UNION 282","Jun 30, 2008",,,"PRIVATE"
"BUILDING MATERIAL CONTRACTORS INDUSTRY",1558,"LAKE SUCCESS, NY","TEAMSTERS (IBT) LOCAL UNION 282","Jun 30, 2008","32742","4700","PRIVATE"
"BUILDING MATERIAL SUPPLIERS",1557,"NY NASSAU","TEAMSTERS (IBT) LOCAL UNION 282","Jun 30, 2005","32742","4700","PRIVATE"
"BUILDING OPERATORS LABOR RELATIONS, INC.",813,"PA PHILADELPHIA","SERVICE EMPLOYEES (SEIU) LOCAL UNION 36","Oct 15, 2007","53111","4000","PRIVATE"
"BUILDING OWNERS & MGRS ASSOCIATION OF CHICAGO (JANITORS)",715,"IL CHICAGO","SEIU 1","Apr 9, 2006","531110","1800","PRIVATE"
"BUILDING OWNERS & MGRS ASSOCIATION OF CHICAGO (SEC)",719,"IL CHICAGO","SEIU 1","Apr 9, 2006","531110","2000","PRIVATE"
"BUILDING RESTORATION CONTRACTORS ASSOCIATION (POINTERS,CAULKERS)",1349,"NY LONG ISLAND","BAC 1","Jun 30, 2004","23814","1000","PRIVATE"
"BUILDING TRADES EMPLOYERS ASSOCIATION (TUNNEL & SHAFT)",1031,"NY ROCHESTER","LABORERS  (LIUNA) LOCAL UNION 435","Mar 31, 2007","23731","1100","PRIVATE"
"BUILDING, SITE, & GEN'L CONSTRUCTION CONTRACTORS",985,"NJ","LIUNA DC NJ-NO.CEN.SO.","Apr 30, 2007","23622","9500","PRIVATE"
"BUREAU OF NATIONAL AFFAIRS, INC.",2179,"DC","WBNG ","Jul 22, 2016",,,"PRIVATE"
"BUTTERBALL, LLC",2025,"CO LONGMONT","FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 7 R","Apr 12, 2013","445110","2000","PRIVATE"
"C & E SERVICE, INC.",1963,"TX","ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 351","Sep 30, 2013","23731","2452","PRIVATE"
"C.G. JOHNSON BOILER CO.",1791,"MO","BOILERMAKERS AFL-CIO (BBF) LODGE 83","Mar 31, 2009","238390","1000","PRIVATE"
"C&C TRUCK REPAIR, INC.",1391,"IL","MACHINISTS AFL-CIO (IAM) LODGE 701","Jun 30, 2022","811118","1","PRIVATE"
"C&E SERVICES, INC.",1962,"TX","ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 351","Dec 31, 2016","23731","2452","PRIVATE"
"CAESARS PALACE",742,"NV LAS VEGAS","UNITE HERE  226, 165","Jun 1, 2007","72112","1900","PRIVATE"
"CAIETTI'S TRUCK REPAIR, INC.",2592,"CA","MACHINISTS AFL-CIO (IAM) DISTRICT LODGE 190 AUTOMOTIVE TRADES DISTRI/MACHINISTS AFL-CIO (IAM) LODGE 2182","Jan 30, 2020",,"5","PRIVATE"
"CAIN MILLWORK",2317,"IL","CRCC ","Oct 31, 2019",,,"PRIVATE"
"CALACCI CONSTRUCTION CO., INC.",2562,"IA","IRON WORKERS AFL-CIO (BSOIW) LOCAL UNION 89","Apr 30, 2022",,"10","PRIVATE"
"CALIFORNIA IRONWORKER EMPLOYERS COUNCIL, INC.",2512,"CA","BSOIW DC CALIFORNIA & VICINITY","Jun 30, 2020",,,"PRIVATE"
"CALIFORNIA PLUMBING & MECHANICAL CONTRACTORS ASSOCIATION",1287,"CA LOS ANGELES","PLUMBERS AFL-CIO (PPF) DISTRICT COUNCIL 16","Jun 30, 2008","23822","1800","PRIVATE"
"CALIFORNIA PROCESSORS INC.",53,"CA","TEAMSTERS (IBT) LOCAL UNION 601/TEAMSTERS (IBT) LOCAL UNION 746","Jun 30, 2006","311421","21500","PRIVATE"
"CALIFORNIA PROCESSORS INC.",54,"CA","TEAMSTERS (IBT) LOCAL UNION 601/TEAMSTERS (IBT) LOCAL UNION 948","Jun 30, 2003","311421","21500","PRIVATE"
"CALIFORNIA PROCESSORS INC.",55,"CA","TEAMSTERS (IBT) LOCAL UNION 601/TEAMSTERS (IBT) LOCAL UNION 948","Jun 30, 2012","311421","21500","PRIVATE"
"CALIFORNIA PROCESSORS INC.",79,"CA","TEAMSTERS (IBT) LOCAL UNION 601/TEAMSTERS (IBT) LOCAL UNION 746/TEAMSTERS (IBT) LOCAL UNION 748/TEAMSTERS (IBT) LOCAL UNION 857","Jun 30, 2003","311421","11000","PRIVATE"
"CALIFORNIA PROCESSORS INC.",80,"CA","TEAMSTERS (IBT) LOCAL UNION 601/TEAMSTERS (IBT) LOCAL UNION 746/TEAMSTERS (IBT) LOCAL UNION 748/TEAMSTERS (IBT) LOCAL UNION 857","Jun 30, 2006","311421","11000","PRIVATE"
"CALUMET BUILDERS ASSOCIATION & INDSTRL CONTRACTORS & BLDRS ASSOCIATION",1570,"IN","IRON WORKERS AFL-CIO (BSOIW) LOCAL UNION 395","May 31, 2006","23621","1000","PRIVATE"
"CALUMET BUILDERS ASSOCIATION, AGC, ET. AL. (COMML-INDUST)",1551,"IN GARY","UBC DC","May 31, 2006","23622","2000","PRIVATE"
"CAMBRIDGE LEE INDUSTRIES, LLC. PLANT 3",2377,"PA","STEELWORKERS, AFL-CIO (USW) LOCAL UNION 10 6996 S","May 31, 2019",,,"PRIVATE"
"CAMBRIDGE LEE INDUSTRIES, LLC. PLANT 4",2378,"PA","STEELWORKERS, AFL-CIO (USW) LOCAL UNION 10 6996 S","May 15, 2017",,,"PRIVATE"
"CAMBRIDGE-LEE INDUSTRIES, LLC. READING TUBE DIVISION PLANT #2",2376,"PA","STEELWORKERS, AFL-CIO (USW) LOCAL UNION 10 6996 S","May 18, 2017",,,"PRIVATE"
"CAMPBELL SOUP CO.",56,"CA SACRAMENTO","TEAMSTERS (IBT) LOCAL UNION 228","May 7, 2006","311422","1700","PRIVATE"
"CAMPBELL SOUP CO.",67,"OH NAPOLEON","FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 911","Feb 4, 2007","311422","1100","PRIVATE"
"CAMPBELL SOUP CO.",69,"TX, OK","FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 540","Jul 29, 2005","311422","1200","PRIVATE"
"CANADA DRY DISTRIBUTING COMPANY (DRIVERS)",2229,"DE","TEAMSTERS (IBT) LOCAL UNION 326 GENERAL TEAMSTERS","Feb 1, 2019",,,"PRIVATE"
"CANADA DRY DISTRIBUTING COMPANY (WAREHOUSE)",2228,"DE","TEAMSTERS (IBT) LOCAL UNION 326 GENERAL TEAMSTERS","Feb 1, 2019",,,"PRIVATE"
"CANTEEN VENDING SERVICES, A DIVISON OF COMPASS GROUP USA, INC.",1392,"WI","TEAMSTERS (IBT) LOCAL UNION 662","Aug 31, 2022","454210","37","PRIVATE"
"CARDONE INDUSTRIES, INC.",2559,"TX","CHEMICAL PRODUCTION WORKERS  30","May 31, 2024","336390","95","PRIVATE"
"CAREVAN - KNIGHT F.M.",1946,"MI","AUTO WORKERS AFL-CIO (UAW) LOCAL UNION 659","Jun 4, 2012","336111","3163","PRIVATE"
"CAROLINA TELEPHONE & TELEGRAPH CO.",449,"NC","CWA -","Nov 30, 2005","517110","1500","PRIVATE"
"CAROLINA TELEPHONE & TELEGRAPH CO.",450,"NC","CWA -","Nov 30, 2008","517110","1500","PRIVATE"
"CARPENTER CONTRACTORS' ASSOCIATION OF CLEVELAND ET. AL.",1742,"OH NORTHEAST","UBC NE OH DC","Apr 30, 2005","23622","4500","PRIVATE"
"CARRIER CORP./UNITED TECHNOLOGIES",240,"NY SYRACUSE","SMW 527","Nov 2, 2003","333415","2000","PRIVATE"
"CARRIER CORPORATION./UNITED TECHNOLOGIES",255,"TN MCMINNVILLE","SMW 483","May 1, 2006","333415","1000","PRIVATE"
"CARTAMUNDI EAST LONGMEADOW, LLC",2587,"MA","RETAIL WHOLESALE, DC, UFCW (RWDSU) LOCAL UNION 224","Apr 4, 2021","323111","300","PRIVATE"
"CASA DE MARYLAND",2180,"DC","WBNG 32035","Jun 30, 2017",,,"PRIVATE"
"CASCADE GENERAL, INC.",1808,"OR","MTD PACIFIC COAST DC","Jun 30, 2011","238390","1000","PRIVATE"
"CASE CORP.",242,"IA BURLINGTON","AUTO WORKERS AFL-CIO (UAW) LOCAL UNION 1304/AUTO WORKERS AFL-CIO (UAW) LOCAL UNION 1306/AUTO WORKERS AFL-CIO (UAW) LOCAL UNION 152/AUTO WORKERS AFL-CIO (UAW) LOCAL UNION 180/AUTO WORKERS AFL-CIO (UAW) LOCAL UNION 807","May 2, 2004","333131","3300","PRIVATE"
"CATERPILLAR INC.",247,"IL PEORIA","AUTO WORKERS AFL-CIO (UAW) LOCAL UNION 1415/AUTO WORKERS AFL-CIO (UAW) LOCAL UNION 145/AUTO WORKERS AFL-CIO (UAW) LOCAL UNION 2096/AUTO WORKERS AFL-CIO (UAW) LOCAL UNION 2406/AUTO WORKERS AFL-CIO (UAW) LOCAL UNION 751/AUTO WORKERS AFL-CIO (UAW) LOCAL UNION 786/AUTO WORKERS AFL-CIO (UAW) LOCAL UNION 974","Mar 1, 2017","333111","9000","PRIVATE"
"CATERPILLAR INC.",248,"NATIONAL","AUTO WORKERS AFL-CIO (UAW) LOCAL UNION 1415/AUTO WORKERS AFL-CIO (UAW) LOCAL UNION 145/AUTO WORKERS AFL-CIO (UAW) LOCAL UNION 1989/AUTO WORKERS AFL-CIO (UAW) LOCAL UNION 2096/AUTO WORKERS AFL-CIO (UAW) LOCAL UNION 751/AUTO WORKERS AFL-CIO (UAW) LOCAL UNION 786/AUTO WORKERS AFL-CIO (UAW) LOCAL UNION 974","Mar 1, 2011","333111","9000","PRIVATE"
"CATERPILLAR INC. (WAS CATERPILLAR TRACTOR CO.)",227,"IL JOLIET","MACHINISTS AFL-CIO (IAM) LODGE 851","May 1, 2005","333111","1400","PRIVATE"
"CATERPILLAR TRACTOR CO.",246,"IL PEORIA","AUTO WORKERS AFL-CIO (UAW) LOCAL UNION 1415/AUTO WORKERS AFL-CIO (UAW) LOCAL UNION 145/AUTO WORKERS AFL-CIO (UAW) LOCAL UNION 1989/AUTO WORKERS AFL-CIO (UAW) LOCAL UNION 2096/AUTO WORKERS AFL-CIO (UAW) LOCAL UNION 751/AUTO WORKERS AFL-CIO (UAW) LOCAL UNION 786/AUTO WORKERS AFL-CIO (UAW) LOCAL UNION 974","Mar 31, 2004","333111","9000","PRIVATE"
"CAUTTRELL ENTERPRISES, INC. DBA FENSTER STEEL CORPORATION CARDINAL STEEL SUPPLY, INC.",1330,"MO","LONGSHOREMENS ASN AFL-CIO (ILA) LOCAL UNION 1765","Aug 31, 2020",,,"PRIVATE"
"CBI SERVICES , INC.",2360,"WA","BOILERMAKERS AFL-CIO (BBF) LODGE 104","Oct 1, 2019",,,"PRIVATE"
"CBI SERVICES, INC.",1809,"U.S.","BBF -","Oct 20, 2010","23890","1000","PRIVATE"
"CBI SERVICES, INC.",1811,"WA","BOILERMAKERS AFL-CIO (BBF) LODGE 104","Oct 1, 2010","238390","1000","PRIVATE"
"CBRE TECHNICAL SERVICES, LLC",2543,"NJ","ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 68","Jun 30, 2018","541513",,"PRIVATE"
"CBS INC.",444,"NY","ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 1200/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 1212/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 1220/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 45 I.B.E.W. LOCAL 45","Jul 31, 2007","515120","2500","PRIVATE"
"CCLE OF NJ & AGC, NJ (DOCKBUILDERS)",1460,"NY NJ","UBC 1466","Apr 30, 2007","23799","2000","PRIVATE"
"CEDAR BROOK CONSTRUCTION, LLC",1306,"WI","CHRISTIAN LABOR ASSOCAITION  8","Aug 31, 2020","236115","6","PRIVATE"
"CEDARS-SINAI MEDICAL CENTER",827,"CA LOS ANGELES","SERVICE EMPLOYEES (SEIU) LOCAL UNION 399","Mar 31, 2007","62211","1200","PRIVATE"
